idaluno,idturma,motivoinativacao,nomedisciplina,notafase,nomefase,idfasenota,numerofase,idade,corraca,sexo,datasituacaoativo,datasituacaoinativo,datahoraefetivacaomatricula,diasmatriculado,inativo
111,300,,INGLÊS,9.0,1º SEMESTRE,279,2,19.0,B,F,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-02-27 00:00:00,307.0,False
8,303,,INGLÊS,0.0,DIAGNOSTICA 2,281,4,22.0,B,F,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-07-25 17:05:00,158.0,False
109,208,,INGLÊS,8.0,MÉDIA DIAGNÓSTICA,265,5,19.0,B,F,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-01-20 00:00:00,345.0,False
300,179,,MATEMÁTICA,0.0,DIAGNOSTICA 1,236,1,15.0,R,M,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-02-03 00:00:00,331.0,False
188,169,,PORTUGUÊS,9.0,MÉDIA ANUAL,240,6,13.0,B,F,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-01-20 00:00:00,345.0,False
329,190,,MATEMÁTICA,0.0,MÉDIA DIAGNÓSTICA,247,5,16.0,R,M,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-01-18 00:00:00,347.0,False
126,208,,MATEMÁTICA,4.0,1º SEMESTRE,261,2,19.0,R,M,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-01-21 00:00:00,344.0,False
233,277,,INGLÊS,5.0,DIAGNOSTICA 1,278,1,15.0,B,F,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-03-04 00:00:00,302.0,False
4,211,,INGLÊS,0.0,1º SEMESTRE,267,2,19.0,B,F,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-01-20 00:00:00,345.0,False
289,188,,PORTUGUÊS,8.0,MÉDIA ANUAL,246,6,15.0,B,F,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-01-18 00:00:00,347.0,False
297,189,,MATEMÁTICA,8.5,MÉDIA ANUAL,246,6,15.0,B,M,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-01-18 00:00:00,347.0,False
235,415,,PORTUGUÊS,9.5,2º SEMESTRE,238,3,13.0,R,F,2022-03-24 00:00:00,2022-12-31 00:00:00,2022-01-21 00:00:00,344.0,False
290,203,,MATEMÁTICA,9.0,DIAGNOSTICA 2,251,4,16.0,B,F,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-02-03 00:00:00,331.0,False
32,208,,INGLÊS,10.0,MÉDIA ANUAL,264,6,19.0,B,F,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-01-18 00:00:00,347.0,False
32,286,,INGLÊS,2.5,MÉDIA DIAGNÓSTICA,283,5,19.0,B,F,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-02-27 00:00:00,307.0,False
254,409,Falta de retorno as nossas tentativas de contato,INGLÊS,5.5,DIAGNOSTICA 1,254,1,19.0,R,F,2022-01-01 00:00:00,2022-10-04 15:36:00,2022-01-20 00:00:00,257.0,True
347,249,,INGLÊS,3.0,DIAGNOSTICA 1,248,1,16.0,R,F,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-01-19 00:00:00,346.0,False
204,185,,INGLÊS,7.0,2º SEMESTRE,244,3,15.0,B,F,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-01-20 00:00:00,345.0,False
24,210,,MATEMÁTICA,0.5,MÉDIA ANUAL,270,6,19.0,R,F,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-02-18 00:00:00,316.0,False
348,183,,PORTUGUÊS,9.0,DIAGNOSTICA 2,239,4,15.0,B,F,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-06-01 00:00:00,213.0,False
321,242,,INGLÊS,2.5,MÉDIA ANUAL,246,6,17.0,B,F,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-01-18 00:00:00,347.0,False
